Frame,Reps,Hip Angle,Knee Angle,Back Angle,Error_Back_Straightness,Error_Knee_Caving,Error_Hip_Depth
0,1,150.12374488143922,75.48833869932935,166.22839031434782,0,1,0
1,1,156.33212500760465,70.70615380140588,163.33558598028264,0,1,0
2,1,109.31112183356227,104.14780733521636,172.12001380484057,0,0,1
3,1,160.9552217158043,85.49337973343535,177.76278899128374,1,1,0
4,1,168.2091891630738,115.23851338344849,168.30493571429915,1,1,1
5,1,100.18126175285538,99.14088790911369,171.25098916109613,0,1,1
6,1,110.6696651751119,139.22863214190735,163.40052471214767,1,0,1
7,1,135.11010925714953,159.07428800133718,179.9595480198533,0,1,1
8,1,82.78303990661146,75.31362775093511,171.2191230133675,1,0,0
9,1,151.2804957437266,153.55415543332157,164.26308721906756,1,0,0
10,1,150.8461445163986,92.89275346582735,161.1061965014419,1,0,1
11,1,84.34529485454567,79.34545762329493,161.07621759082758,1,1,0
12,1,120.06740215448923,86.04460249805194,170.0547423634043,0,0,0
13,1,87.17392980091688,138.3253042300981,170.36184740033767,1,1,0
14,1,151.31545414742692,95.90291526911679,165.6533917852052,1,1,0
15,1,99.6177151111954,138.14149586590136,164.4409342738005,1,0,1
16,1,86.97271035786967,113.51062648605645,166.56117370031575,0,0,1
17,1,135.4282312065326,112.07485487738268,161.27908215885662,0,1,1
18,1,86.41766273304326,156.3392280212031,170.66020999701084,0,0,1
19,1,167.88794409812067,146.461196277731,179.0561484856342,0,0,1
20,1,135.1869728553822,139.8788546818713,169.03881595469232,1,0,1
21,1,127.26007692087595,113.56857859527733,170.24106037666206,0,0,1
22,1,105.22631176038396,79.35454734341855,169.66078590429638,0,0,1
23,1,116.79036541193321,74.75151337259307,163.7049396156602,1,1,1
24,1,97.13724676248756,123.31746369851936,171.59252321642077,1,1,1
25,1,120.5973787857503,159.4062289918231,170.0609158879598,1,0,1
26,1,111.10880905859023,97.26357148057713,162.7140354945921,0,0,0
27,1,143.4675499817983,142.9823534133215,173.07455832478112,0,0,0
28,1,88.78564151325675,108.27425309555842,165.79844034408904,1,1,1
29,1,115.37854614520792,122.42269851440489,161.54546326992377,0,0,0
30,1,82.06903391082515,131.59050512377496,165.28822594174153,1,0,0
31,1,95.87154783186357,159.25649754803217,170.28940119117127,1,0,1
32,1,80.66407035325172,149.33138340325632,177.77662225339955,1,1,0
33,1,131.35675220691536,100.9236159005479,164.0302536763064,1,1,1
34,1,86.77806700629037,137.52444048297932,174.33816931103343,0,0,0
35,1,80.12777902973478,76.90510851786456,167.91414933802957,1,1,0
36,1,94.4743059923384,145.98978773647707,164.93417836678168,0,0,0
37,1,166.98649553167996,141.72050796543445,165.74271678158453,0,1,1
38,2,157.54166248913577,150.9475472188368,174.05786933000834,0,1,0
39,2,91.71238488144475,73.59289076724886,173.02959684234102,1,1,0
40,2,103.8498727108911,71.73554900222453,165.4618155821984,0,0,1
41,2,119.79419205129278,70.26664263305483,168.3077115894537,1,0,1
42,2,89.27647981549966,138.9130250281529,165.16187578451127,1,1,0
43,2,137.3826626534395,133.23604186395286,164.66349660235798,0,1,0
44,2,107.55056585130806,94.5036853564274,170.9444555577138,0,0,0
45,2,83.33949003898235,110.08309888848399,177.2074768300516,1,1,0
46,2,100.24891531653927,108.50548811854354,178.94950046325744,0,0,0
47,2,160.96762752428828,72.6268907953586,179.89290957345773,1,0,0
48,2,142.27908028978112,100.35756841087996,170.9878641111694,0,0,1
49,2,107.08409934716137,106.1999438140221,167.21784362437018,1,1,0
50,2,86.93932141260179,91.63320013829572,171.47051376297225,0,1,0
51,2,137.07875404029141,79.65114382061687,175.44581893799653,1,1,1
52,2,159.52391410407546,130.30953011167907,173.49429895548582,1,0,1
53,2,98.50933388629139,148.25344545462644,172.04169021106992,1,1,1
54,2,130.84225431872187,105.36787533227456,171.63622986040764,0,1,0
55,2,98.61621624580694,90.19073655666354,176.52660355442575,0,0,0
56,2,131.73621706339242,80.67242538728807,163.9570647182273,0,1,1
